support	itemsets
0.0035	frozenset({'Success', 'RoSAS', 'DeepSAD', 'PReNet'})
0.0035	frozenset({'Success', 'DeepSAD', 'RoSAS', 'DevNet', 'PReNet'})
0.0035	frozenset({'Success', 'RoSAS', 'RePEN', 'RCA'})
0.003	frozenset({'RCA', 'DeepSAD', 'RePEN', 'ICL', 'DevNet', 'PReNet'})
0.003	frozenset({'RoSAS', 'DeepSAD', 'RCA'})
0.003	frozenset({'DeepSVDD', 'PReNet'})
0.003	frozenset({'Success', 'RCA', 'DeepSAD', 'RePEN', 'ICL', 'DevNet', 'PReNet'})
0.003	frozenset({'DevNet', 'RoSAS', 'RePEN', 'RCA'})
0.003	frozenset({'Success', 'RCA', 'DeepSAD', 'ICL', 'RePEN', 'PReNet'})
0.003	frozenset({'Success', 'DeepSVDD', 'ICL', 'SLAD'})
0.003	frozenset({'RCA', 'DeepSAD', 'ICL', 'RePEN', 'PReNet'})
0.003	frozenset({'DeepSVDD', 'RCA', 'PReNet'})
0.003	frozenset({'Success', 'DeepSVDD', 'PReNet'})
0.003	frozenset({'SLAD', 'GOAD', 'DeepSVDD', 'NeuTraL'})
0.003	frozenset({'Success', 'DeepSVDD', 'NeuTraL', 'SLAD', 'GOAD'})
0.003	frozenset({'Success', 'RoSAS', 'DeepSAD', 'RCA'})
0.003	frozenset({'RoSAS', 'SLAD', 'GOAD', 'DeepSVDD'})
0.003	frozenset({'Success', 'DeepSVDD', 'RCA', 'PReNet'})
0.003	frozenset({'SLAD', 'DeepSVDD', 'ICL'})
0.003	frozenset({'Success', 'RCA', 'RePEN', 'RoSAS', 'DevNet'})
0.003	frozenset({'SLAD', 'Success', 'DeepSAD', 'PReNet'})
0.003	frozenset({'Success', 'DeepSAD', 'RePEN', 'ICL', 'DevNet', 'PReNet'})
0.003	frozenset({'SLAD', 'DeepSAD', 'PReNet'})
0.003	frozenset({'Success', 'DeepSAD', 'ICL', 'RePEN', 'PReNet'})
0.003	frozenset({'DeepSAD', 'RePEN', 'ICL', 'DevNet', 'PReNet'})
0.003	frozenset({'ICL', 'DeepSAD', 'RePEN', 'PReNet'})
0.003	frozenset({'SLAD', 'DevNet', 'RePEN'})
0.003	frozenset({'SLAD', 'DevNet', 'RePEN', 'Success'})
0.003	frozenset({'Success', 'DeepSAD', 'RePEN', 'SLAD', 'DevNet'})
0.003	frozenset({'SLAD', 'DevNet', 'DeepSAD', 'RePEN'})
0.0025	frozenset({'Success', 'RCA', 'SLAD', 'GOAD', 'RePEN'})
0.0025	frozenset({'Success', 'Quartile', 'DeepSAD'})
0.0025	frozenset({'Success', 'DeepSVDD', 'RCA', 'DeepSAD', 'PReNet'})
0.0025	frozenset({'Success', 'DeepSAD', 'RePEN', 'RoSAS', 'DevNet'})
0.0025	frozenset({'Success', 'RoSAS', 'DeepSAD', 'RePEN'})
0.0025	frozenset({'DevNet', 'RoSAS', 'DeepSAD', 'RePEN'})
0.0025	frozenset({'SLAD', 'RCA', 'ICL'})
0.0025	frozenset({'SLAD', 'DeepSAD', 'DevNet', 'PReNet'})
0.0025	frozenset({'RoSAS', 'DeepSAD', 'RePEN'})
0.0025	frozenset({'SLAD', 'GOAD', 'RCA'})
0.0025	frozenset({'Success', 'GOAD', 'RCA'})
0.0025	frozenset({'Quartile', 'DeepSAD'})
0.0025	frozenset({'Success', 'DeepSAD', 'SLAD', 'DevNet', 'PReNet'})
0.0025	frozenset({'Success', 'RCA', 'ICL', 'SLAD'})
0.0025	frozenset({'DeepSVDD', 'DeepSAD', 'PReNet'})
0.0025	frozenset({'GOAD', 'RoSAS', 'ICL'})
0.0025	frozenset({'Success', 'RoSAS', 'NeuTraL', 'PReNet'})
0.0025	frozenset({'Success', 'NeuTraL', 'DeepSAD', 'ICL', 'DevNet'})
0.0025	frozenset({'SLAD', 'GOAD', 'RCA', 'RePEN'})
0.0025	frozenset({'SLAD', 'ICL', 'DeepSAD'})
0.0025	frozenset({'SLAD', 'GOAD', 'RCA', 'Success'})
0.0025	frozenset({'Success', 'GOAD', 'RCA', 'RePEN'})
0.0025	frozenset({'Success', 'DeepSVDD', 'DeepSAD', 'PReNet'})
0.0025	frozenset({'RoSAS', 'NeuTraL', 'PReNet'})
0.0025	frozenset({'DevNet', 'ICL', 'DeepSAD', 'NeuTraL'})
0.0025	frozenset({'RoSAS', 'DeepSAD', 'DevNet', 'RCA'})
0.0025	frozenset({'Success', 'RCA', 'DeepSAD', 'RoSAS', 'DevNet'})
0.0025	frozenset({'DeepSVDD', 'RCA', 'DeepSAD', 'PReNet'})
0.0025	frozenset({'GOAD', 'RCA', 'RePEN'})
0.0025	frozenset({'GOAD', 'RCA'})
0.0025	frozenset({'Success', 'GOAD', 'RoSAS', 'ICL'})
0.0025	frozenset({'Success', 'DeepSVDD', 'RoSAS', 'NeuTraL'})
0.0025	frozenset({'Success', 'DeepSVDD', 'SLAD', 'GOAD', 'RoSAS'})
0.0025	frozenset({'DeepSVDD', 'RoSAS', 'NeuTraL'})
0.002	frozenset({'RCA', 'NeuTraL'})
0.002	frozenset({'SLAD', 'Success', 'RePEN', 'PReNet'})
0.002	frozenset({'Success', 'DeepSAD', 'SLAD', 'RePEN', 'PReNet'})
0.002	frozenset({'Success', 'DeepSVDD', 'RCA', 'Z_score', 'RePEN'})
0.002	frozenset({'Z_score'})
0.002	frozenset({'Success', 'RCA', 'NeuTraL'})
0.002	frozenset({'SLAD', 'DeepSAD', 'RePEN', 'PReNet'})
0.002	frozenset({'DeepSVDD', 'DevNet', 'PReNet'})
0.002	frozenset({'Success', 'DeepSVDD', 'DeepSAD', 'RePEN', 'DevNet', 'PReNet'})
0.002	frozenset({'Success', 'DeepSVDD', 'RePEN', 'DevNet', 'PReNet'})
0.002	frozenset({'Success', 'DeepSVDD', 'DeepSAD', 'RePEN', 'PReNet'})
0.002	frozenset({'PReNet', 'RoSAS', 'RCA'})
0.002	frozenset({'RoSAS', 'ICL', 'PReNet'})
0.002	frozenset({'Z_score', 'RCA'})
0.002	frozenset({'Z_score', 'Quartile'})
0.002	frozenset({'DeepSVDD', 'DeepSAD', 'DevNet', 'PReNet'})
0.002	frozenset({'Z_score', 'DeepSVDD'})
