support	itemsets
0.004	frozenset({'PReNet', 'RePEN', 'RCA', 'DevNet', 'ICL'})
0.004	frozenset({'RoSAS', 'NeuTraL', 'ICL'})
0.004	frozenset({'RoSAS', 'DevNet', 'ICL'})
0.004	frozenset({'PReNet', 'SLAD', 'DevNet', 'ICL'})
0.004	frozenset({'Success', 'SLAD', 'RoSAS', 'DeepSVDD'})
0.004	frozenset({'PReNet', 'RePEN', 'ICL'})
0.004	frozenset({'PReNet', 'RePEN', 'RCA', 'Success', 'ICL'})
0.004	frozenset({'PReNet', 'SLAD', 'ICL'})
0.004	frozenset({'PReNet', 'RePEN', 'Success', 'ICL'})
0.004	frozenset({'RePEN', 'DeepSVDD', 'ICL'})
0.004	frozenset({'PReNet', 'DevNet', 'RePEN', 'ICL'})
0.004	frozenset({'RoSAS', 'NeuTraL', 'Success', 'ICL'})
0.004	frozenset({'PReNet', 'ICL', 'RePEN', 'RCA'})
0.004	frozenset({'DeepSVDD', 'RePEN', 'DeepSAD', 'RCA', 'Success', 'ICL'})
0.004	frozenset({'DeepSVDD', 'RePEN', 'DeepSAD', 'Success', 'ICL'})
0.004	frozenset({'DevNet', 'ICL', 'RePEN', 'DeepSAD'})
0.004	frozenset({'GOAD', 'NeuTraL', 'ICL'})
0.004	frozenset({'PReNet', 'SLAD', 'Success', 'ICL'})
0.004	frozenset({'RoSAS', 'DevNet', 'Success', 'ICL'})
0.004	frozenset({'SLAD', 'GOAD', 'ICL'})
0.004	frozenset({'DevNet', 'NeuTraL', 'DeepSAD'})
0.004	frozenset({'RoSAS', 'DevNet', 'NeuTraL'})
0.004	frozenset({'DevNet', 'NeuTraL', 'Success', 'DeepSAD'})
0.004	frozenset({'RoSAS', 'DevNet', 'NeuTraL', 'Success'})
0.004	frozenset({'Success', 'PReNet', 'RePEN', 'RCA', 'DevNet', 'ICL'})
0.0035	frozenset({'GOAD', 'NeuTraL', 'Success', 'ICL'})
0.0035	frozenset({'Success', 'PReNet', 'DeepSAD', 'RCA', 'DevNet', 'ICL'})
0.0035	frozenset({'Success', 'SLAD', 'GOAD', 'RePEN'})
0.0035	frozenset({'Success', 'RePEN', 'DeepSAD', 'RCA', 'DevNet', 'ICL'})
0.0035	frozenset({'SLAD', 'DevNet', 'RCA'})
0.0035	frozenset({'Quartile', 'RePEN'})
0.0035	frozenset({'PReNet', 'RoSAS', 'DevNet', 'DeepSAD'})
0.0035	frozenset({'SLAD', 'NeuTraL', 'ICL'})
0.0035	frozenset({'RePEN', 'DeepSAD', 'RCA', 'DevNet', 'ICL'})
0.0035	frozenset({'DevNet', 'DeepSAD', 'RCA', 'SLAD', 'Success'})
0.0035	frozenset({'PReNet', 'DeepSAD', 'RCA', 'DevNet', 'ICL'})
0.0035	frozenset({'Success', 'RoSAS', 'RePEN', 'RCA'})
0.0035	frozenset({'Quartile', 'Success', 'RCA'})
0.0035	frozenset({'SLAD', 'GOAD', 'RePEN'})
0.0035	frozenset({'PReNet', 'NeuTraL', 'Success'})
0.0035	frozenset({'RoSAS', 'DevNet', 'RCA'})
0.0035	frozenset({'SLAD', 'NeuTraL', 'Success', 'ICL'})
0.0035	frozenset({'RoSAS', 'DevNet', 'Success', 'RCA'})
0.0035	frozenset({'PReNet', 'RoSAS', 'DeepSAD'})
0.0035	frozenset({'RoSAS', 'RePEN', 'RCA'})
0.0035	frozenset({'RoSAS', 'DevNet', 'PReNet', 'DeepSAD', 'Success'})
0.0035	frozenset({'Quartile', 'RePEN', 'RCA'})
0.0035	frozenset({'PReNet', 'NeuTraL'})
0.0035	frozenset({'PReNet', 'RoSAS', 'Success', 'DeepSAD'})
0.0035	frozenset({'Success', 'GOAD', 'RoSAS', 'DeepSVDD'})
0.0035	frozenset({'SLAD', 'DevNet', 'Success', 'RCA'})
0.0035	frozenset({'RCA', 'SLAD', 'DevNet', 'DeepSAD'})
0.0035	frozenset({'Success', 'Quartile', 'RePEN', 'RCA'})
0.0035	frozenset({'Success', 'Quartile', 'RePEN'})
0.003	frozenset({'Success', 'PReNet', 'RePEN', 'DeepSAD', 'DevNet', 'ICL'})
0.003	frozenset({'Success', 'SLAD', 'DeepSVDD', 'ICL'})
0.003	frozenset({'PReNet', 'SLAD', 'Success', 'DeepSAD'})
0.003	frozenset({'Success', 'SLAD', 'DevNet', 'RePEN'})
0.003	frozenset({'PReNet', 'RePEN', 'DeepSAD', 'RCA', 'ICL'})
0.003	frozenset({'PReNet', 'ICL', 'RePEN', 'DeepSAD'})
0.003	frozenset({'RoSAS', 'DevNet', 'RePEN', 'RCA', 'Success'})
0.003	frozenset({'SLAD', 'DevNet', 'RePEN', 'DeepSAD'})
0.003	frozenset({'RCA', 'RoSAS', 'Success', 'DeepSAD'})
0.003	frozenset({'PReNet', 'RePEN', 'DeepSAD', 'RCA', 'Success', 'ICL'})
0.003	frozenset({'DevNet', 'RePEN', 'DeepSAD', 'SLAD', 'Success'})
0.003	frozenset({'PReNet', 'RePEN', 'DeepSAD', 'DevNet', 'ICL'})
0.003	frozenset({'PReNet', 'RePEN', 'DeepSAD', 'Success', 'ICL'})
