support	itemsets
0.016	frozenset({'Quartile', 'DeepSVDD', 'DeepSAD', 'RCA'})
0.016	frozenset({'RoSAS', 'GOAD'})
0.016	frozenset({'RePEN', 'Quartile', 'DeepSAD', 'RCA'})
0.016	frozenset({'Quartile', 'DeepSAD', 'RCA'})
0.016	frozenset({'Quartile', 'RCA', 'RePEN', 'Success', 'DeepSAD'})
0.016	frozenset({'Success', 'Quartile', 'DeepSVDD', 'DeepSAD'})
0.016	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'RePEN', 'Success', 'DeepSAD'})
0.016	frozenset({'RePEN', 'Quartile', 'DeepSAD'})
0.016	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'Success', 'DeepSAD'})
0.016	frozenset({'Success', 'Quartile', 'DeepSAD'})
0.014	frozenset({'NeuTraL', 'DeepSAD', 'PReNet'})
0.014	frozenset({'PReNet', 'DeepSAD', 'RCA'})
0.014	frozenset({'ICL', 'SLAD', 'Success'})
0.014	frozenset({'RCA', 'PReNet', 'RePEN', 'Success', 'DeepSAD'})
0.014	frozenset({'ICL', 'NeuTraL', 'Success'})
0.014	frozenset({'DeepSVDD', 'GOAD'})
0.014	frozenset({'DeepSVDD', 'GOAD', 'Success'})
0.014	frozenset({'RCA', 'PReNet', 'DeepSVDD', 'RePEN', 'DeepSAD'})
0.014	frozenset({'DeepSVDD', 'PReNet', 'DeepSAD', 'RCA'})
0.014	frozenset({'DevNet', 'Success', 'PReNet'})
0.014	frozenset({'NeuTraL', 'DeepSAD'})
0.014	frozenset({'RePEN', 'RCA', 'DeepSAD', 'PReNet'})
0.014	frozenset({'Success', 'PReNet', 'DeepSAD', 'RCA'})
0.014	frozenset({'RCA', 'PReNet', 'DeepSVDD', 'Success', 'DeepSAD'})
0.014	frozenset({'ICL', 'SLAD'})
0.014	frozenset({'RCA', 'PReNet', 'DeepSVDD', 'RePEN', 'Success', 'DeepSAD'})
0.014	frozenset({'DevNet', 'PReNet'})
0.012	frozenset({'ICL', 'DeepSAD'})
0.012	frozenset({'NeuTraL', 'DeepSVDD'})
0.012	frozenset({'DeepSVDD', 'RoSAS', 'Success'})
0.012	frozenset({'NeuTraL', 'Success', 'DeepSAD'})
0.012	frozenset({'ICL', 'NeuTraL', 'PReNet'})
0.012	frozenset({'NeuTraL', 'DeepSVDD', 'Success'})
0.012	frozenset({'Success', 'RoSAS', 'RCA'})
0.012	frozenset({'DeepSVDD', 'RoSAS'})
0.012	frozenset({'RoSAS', 'RCA'})
0.012	frozenset({'NeuTraL', 'Success', 'DeepSAD', 'PReNet'})
0.01	frozenset({'RePEN', 'NeuTraL', 'DeepSAD', 'PReNet'})
0.01	frozenset({'PReNet', 'NeuTraL', 'DeepSVDD', 'RePEN', 'Success', 'DeepSAD'})
0.01	frozenset({'ICL', 'NeuTraL', 'DeepSAD'})
0.01	frozenset({'RePEN', 'NeuTraL'})
0.01	frozenset({'ICL', 'DeepSAD', 'PReNet'})
0.01	frozenset({'ICL', 'Success', 'DeepSAD'})
0.01	frozenset({'ICL', 'RoSAS', 'Success'})
0.01	frozenset({'RePEN', 'ICL'})
0.01	frozenset({'RePEN', 'NeuTraL', 'Success', 'PReNet'})
0.01	frozenset({'ICL', 'RCA'})
0.01	frozenset({'NeuTraL', 'DeepSVDD', 'Success', 'PReNet'})
0.01	frozenset({'NeuTraL', 'Success', 'DeepSVDD', 'DeepSAD'})
0.01	frozenset({'NeuTraL', 'DeepSVDD', 'DeepSAD', 'PReNet'})
0.01	frozenset({'RePEN', 'NeuTraL', 'DeepSVDD', 'Success'})
0.01	frozenset({'RePEN', 'NeuTraL', 'DeepSVDD', 'PReNet'})
0.01	frozenset({'RePEN', 'NeuTraL', 'DeepSVDD', 'DeepSAD'})
0.01	frozenset({'RePEN', 'Success', 'NeuTraL', 'DeepSAD'})
0.01	frozenset({'RePEN', 'NeuTraL', 'DeepSAD'})
0.01	frozenset({'RePEN', 'NeuTraL', 'Success'})
0.01	frozenset({'ICL', 'NeuTraL', 'DeepSAD', 'PReNet'})
0.01	frozenset({'NeuTraL', 'DeepSVDD', 'PReNet'})
0.01	frozenset({'RePEN', 'NeuTraL', 'DeepSVDD'})
0.01	frozenset({'ICL', 'NeuTraL', 'Success', 'PReNet'})
0.01	frozenset({'PReNet', 'NeuTraL', 'DeepSVDD', 'RePEN', 'Success'})
0.01	frozenset({'NeuTraL', 'DeepSVDD', 'RePEN', 'Success', 'DeepSAD'})
0.01	frozenset({'ICL', 'RoSAS'})
0.01	frozenset({'PReNet', 'NeuTraL', 'DeepSVDD', 'RePEN', 'DeepSAD'})
0.01	frozenset({'RePEN', 'NeuTraL', 'PReNet'})
0.01	frozenset({'PReNet', 'NeuTraL', 'RePEN', 'Success', 'DeepSAD'})
0.01	frozenset({'NeuTraL', 'DeepSVDD', 'DeepSAD'})
0.01	frozenset({'ICL', 'DeepSVDD', 'PReNet'})
0.01	frozenset({'RePEN', 'ICL', 'Success'})
0.01	frozenset({'PReNet', 'NeuTraL', 'DeepSVDD', 'Success', 'DeepSAD'})
0.008	frozenset({'Quartile', 'RCA', 'Success', 'Z_score', 'DevNet'})
0.008	frozenset({'Quartile', 'RCA', 'DevNet', 'Success', 'DeepSAD'})
0.008	frozenset({'Quartile', 'DeepSVDD', 'DevNet', 'RePEN', 'DeepSAD'})
0.008	frozenset({'Success', 'DeepSVDD', 'DevNet', 'DeepSAD'})
0.008	frozenset({'RePEN', 'Quartile', 'DeepSVDD', 'Z_score'})
0.008	frozenset({'Quartile', 'DeepSVDD', 'DevNet', 'DeepSAD'})
0.008	frozenset({'RePEN', 'DeepSVDD', 'Success', 'Z_score'})
0.008	frozenset({'ICL', 'DeepSVDD', 'Success', 'PReNet'})
0.008	frozenset({'Quartile', 'DeepSVDD', 'DevNet', 'Z_score'})
0.008	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'Success', 'Z_score'})
0.008	frozenset({'Quartile', 'RCA', 'RePEN', 'Success', 'Z_score'})
0.008	frozenset({'Quartile', 'RCA', 'DevNet', 'RePEN', 'Success', 'DeepSAD'})
0.008	frozenset({'Quartile', 'DeepSVDD', 'RePEN', 'Success', 'Z_score', 'DevNet'})
0.008	frozenset({'RePEN', 'ICL', 'DeepSVDD', 'Success'})
0.008	frozenset({'Quartile', 'RCA', 'DevNet', 'RePEN', 'DeepSAD'})
0.008	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'RePEN', 'Success', 'Z_score', 'DevNet'})
0.008	frozenset({'Success', 'DeepSVDD', 'RoSAS', 'RCA'})
0.008	frozenset({'Quartile', 'DeepSVDD', 'RePEN', 'Success', 'Z_score'})
