support	itemsets
0.0045	frozenset({'RoSAS', 'RePEN', 'DevNet'})
0.0045	frozenset({'RCA', 'RePEN', 'DevNet', 'ICL'})
0.0045	frozenset({'DevNet', 'NeuTraL', 'Success', 'ICL'})
0.0045	frozenset({'RoSAS', 'DevNet', 'RePEN', 'Success'})
0.0045	frozenset({'GOAD', 'NeuTraL', 'DeepSVDD', 'Success'})
0.0045	frozenset({'Quartile'})
0.0045	frozenset({'DevNet', 'SLAD', 'Success', 'ICL'})
0.0045	frozenset({'DeepSAD', 'Success', 'ICL', 'RCA', 'DeepSVDD'})
0.0045	frozenset({'DeepSAD', 'RCA', 'DeepSVDD', 'ICL'})
0.0045	frozenset({'RCA', 'DeepSVDD', 'Success', 'ICL'})
0.004	frozenset({'RoSAS', 'NeuTraL', 'Success', 'ICL'})
0.004	frozenset({'Success', 'ICL', 'RCA', 'DeepSVDD', 'RePEN'})
0.004	frozenset({'DeepSAD', 'Success', 'ICL', 'RCA', 'DeepSVDD', 'RePEN'})
0.004	frozenset({'RoSAS', 'DevNet', 'ICL'})
0.004	frozenset({'RoSAS', 'NeuTraL', 'ICL'})
0.004	frozenset({'RoSAS', 'Success', 'DeepSVDD', 'SLAD'})
0.004	frozenset({'GOAD', 'NeuTraL', 'ICL'})
0.004	frozenset({'RoSAS', 'NeuTraL', 'DevNet'})
0.004	frozenset({'GOAD', 'RoSAS', 'DeepSVDD'})
0.004	frozenset({'SLAD', 'Success', 'PReNet', 'ICL'})
0.004	frozenset({'GOAD', 'DeepSVDD', 'ICL'})
0.004	frozenset({'RoSAS', 'DevNet', 'Success', 'ICL'})
0.004	frozenset({'SLAD', 'PReNet', 'ICL'})
0.004	frozenset({'GOAD', 'SLAD', 'Success', 'ICL'})
0.004	frozenset({'GOAD', 'SLAD', 'ICL'})
0.004	frozenset({'RoSAS', 'DevNet', 'NeuTraL', 'Success'})
0.004	frozenset({'GOAD', 'DeepSVDD', 'Success', 'ICL'})
0.004	frozenset({'DevNet', 'Success', 'PReNet', 'SLAD', 'ICL'})
0.004	frozenset({'DeepSAD', 'NeuTraL', 'DevNet'})
0.004	frozenset({'DevNet', 'SLAD', 'PReNet', 'ICL'})
0.004	frozenset({'RePEN', 'PReNet', 'ICL'})
0.004	frozenset({'DeepSAD', 'Success', 'ICL', 'DeepSVDD', 'RePEN'})
0.004	frozenset({'RePEN', 'DeepSVDD', 'ICL'})
0.004	frozenset({'PReNet', 'DevNet', 'ICL', 'RCA', 'RePEN'})
0.004	frozenset({'PReNet', 'DevNet', 'ICL', 'RCA', 'Success', 'RePEN'})
0.004	frozenset({'DeepSAD', 'DevNet', 'NeuTraL', 'Success'})
0.004	frozenset({'RePEN', 'DeepSVDD', 'Success', 'ICL'})
0.004	frozenset({'DeepSAD', 'RePEN', 'DeepSVDD', 'ICL'})
0.004	frozenset({'PReNet', 'Success', 'DevNet', 'ICL', 'RePEN'})
0.004	frozenset({'RePEN', 'RCA', 'DeepSVDD', 'ICL'})
0.004	frozenset({'PReNet', 'RePEN', 'Success', 'ICL'})
