support	itemsets
0.016	frozenset({'DeepSAD', 'Success', 'Quartile'})
0.016	frozenset({'Success', 'Quartile', 'DeepSVDD', 'DeepSAD', 'RePEN'})
0.016	frozenset({'Success', 'Quartile', 'DeepSVDD', 'RCA', 'DeepSAD'})
0.014	frozenset({'PReNet', 'DevNet'})
0.014	frozenset({'PReNet', 'Success', 'DeepSVDD', 'RCA', 'DeepSAD', 'RePEN'})
0.014	frozenset({'SLAD', 'Success', 'ICL'})
0.014	frozenset({'PReNet', 'Success', 'RCA', 'DeepSAD', 'RePEN'})
0.014	frozenset({'NeuTraL', 'Success', 'ICL'})
0.014	frozenset({'NeuTraL', 'PReNet', 'DeepSAD'})
0.014	frozenset({'PReNet', 'DeepSVDD', 'RCA', 'DeepSAD', 'RePEN'})
0.014	frozenset({'NeuTraL', 'DeepSAD'})
0.014	frozenset({'PReNet', 'DeepSAD', 'RCA', 'RePEN'})
0.014	frozenset({'GOAD', 'Success', 'DeepSVDD'})
0.014	frozenset({'PReNet', 'Success', 'DevNet'})
0.014	frozenset({'PReNet', 'DeepSAD', 'RCA', 'Success'})
0.014	frozenset({'PReNet', 'Success', 'DeepSVDD', 'RCA', 'DeepSAD'})
0.014	frozenset({'GOAD', 'DeepSVDD'})
0.014	frozenset({'SLAD', 'ICL'})
0.014	frozenset({'PReNet', 'DeepSAD', 'RCA', 'DeepSVDD'})
0.014	frozenset({'PReNet', 'DeepSAD', 'RCA'})
0.012	frozenset({'RCA', 'RoSAS'})
0.012	frozenset({'NeuTraL', 'DeepSAD', 'Success'})
0.012	frozenset({'NeuTraL', 'PReNet', 'ICL'})
0.012	frozenset({'RCA', 'Success', 'RoSAS'})
0.012	frozenset({'RoSAS', 'Success', 'DeepSVDD'})
0.012	frozenset({'NeuTraL', 'Success', 'DeepSVDD'})
0.012	frozenset({'NeuTraL', 'DeepSVDD'})
0.012	frozenset({'RoSAS', 'DeepSVDD'})
0.012	frozenset({'DeepSAD', 'ICL'})
0.012	frozenset({'NeuTraL', 'PReNet', 'DeepSAD', 'Success'})
0.01	frozenset({'PReNet', 'DeepSVDD', 'NeuTraL', 'DeepSAD', 'RePEN'})
0.01	frozenset({'Success', 'DeepSVDD', 'NeuTraL', 'DeepSAD', 'RePEN'})
0.01	frozenset({'PReNet', 'Success', 'DeepSVDD', 'NeuTraL', 'RePEN'})
0.01	frozenset({'NeuTraL', 'PReNet', 'Success', 'ICL'})
0.01	frozenset({'PReNet', 'Success', 'DeepSVDD', 'NeuTraL', 'DeepSAD'})
0.01	frozenset({'PReNet', 'Success', 'NeuTraL', 'DeepSAD', 'RePEN'})
0.01	frozenset({'NeuTraL', 'DeepSAD', 'ICL'})
0.01	frozenset({'NeuTraL', 'PReNet', 'DeepSAD', 'ICL'})
0.01	frozenset({'NeuTraL', 'PReNet', 'Success', 'RePEN'})
0.01	frozenset({'ICL', 'RePEN'})
0.01	frozenset({'NeuTraL', 'RePEN'})
0.01	frozenset({'RCA', 'ICL'})
0.01	frozenset({'ICL', 'RoSAS'})
0.01	frozenset({'RePEN', 'NeuTraL', 'DeepSVDD'})
0.01	frozenset({'PReNet', 'DeepSVDD', 'ICL'})
0.01	frozenset({'NeuTraL', 'DeepSAD', 'DeepSVDD'})
0.01	frozenset({'NeuTraL', 'PReNet', 'DeepSVDD'})
0.01	frozenset({'Success', 'RePEN', 'ICL'})
0.01	frozenset({'NeuTraL', 'DeepSAD', 'RePEN'})
0.01	frozenset({'NeuTraL', 'PReNet', 'RePEN'})
0.01	frozenset({'NeuTraL', 'Success', 'RePEN'})
0.01	frozenset({'PReNet', 'DeepSAD', 'ICL'})
0.01	frozenset({'DeepSAD', 'Success', 'ICL'})
0.01	frozenset({'Success', 'RoSAS', 'ICL'})
0.01	frozenset({'NeuTraL', 'RePEN', 'DeepSAD', 'DeepSVDD'})
0.01	frozenset({'NeuTraL', 'RePEN', 'PReNet', 'DeepSVDD'})
0.01	frozenset({'NeuTraL', 'RePEN', 'Success', 'DeepSVDD'})
0.01	frozenset({'NeuTraL', 'PReNet', 'DeepSAD', 'DeepSVDD'})
0.01	frozenset({'NeuTraL', 'DeepSAD', 'Success', 'DeepSVDD'})
0.01	frozenset({'NeuTraL', 'PReNet', 'Success', 'DeepSVDD'})
0.01	frozenset({'NeuTraL', 'PReNet', 'DeepSAD', 'RePEN'})
0.01	frozenset({'NeuTraL', 'DeepSAD', 'Success', 'RePEN'})
0.01	frozenset({'PReNet', 'Success', 'DeepSVDD', 'NeuTraL', 'DeepSAD', 'RePEN'})
