support	itemsets
0.018	frozenset({'NeuTraL', 'DevNet', 'RePEN'})
0.018	frozenset({'NeuTraL', 'DeepSVDD', 'RePEN', 'Quartile'})
0.018	frozenset({'DeepSVDD', 'Success', 'NeuTraL', 'Quartile'})
0.018	frozenset({'NeuTraL', 'Success', 'RePEN', 'Quartile'})
0.018	frozenset({'DeepSVDD', 'DevNet', 'DeepSAD', 'RoSAS'})
0.018	frozenset({'DevNet', 'DeepSVDD', 'Success', 'DeepSAD', 'RoSAS'})
0.018	frozenset({'DevNet', 'DeepSAD', 'Success', 'RePEN', 'NeuTraL'})
0.018	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'DeepSAD', 'RoSAS'})
0.018	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'DeepSAD', 'Success', 'RoSAS'})
0.018	frozenset({'NeuTraL', 'DevNet', 'Success', 'RePEN'})
0.018	frozenset({'DeepSVDD', 'NeuTraL', 'Quartile'})
0.018	frozenset({'NeuTraL', 'DevNet', 'DeepSAD', 'RePEN'})
0.018	frozenset({'NeuTraL', 'RePEN', 'Quartile'})
0.018	frozenset({'DevNet', 'DeepSAD', 'Success', 'RoSAS'})
0.018	frozenset({'DevNet', 'DeepSVDD', 'ICL'})
0.018	frozenset({'DeepSVDD', 'ICL'})
0.018	frozenset({'DeepSVDD', 'Success', 'RePEN', 'Quartile', 'DeepSAD'})
0.018	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'Success', 'RePEN'})
0.018	frozenset({'GOAD', 'DevNet', 'Success', 'RePEN'})
0.018	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'RePEN'})
0.018	frozenset({'DeepSAD', 'Quartile'})
0.018	frozenset({'NeuTraL', 'Quartile'})
0.018	frozenset({'DeepSAD', 'Success', 'Quartile'})
0.018	frozenset({'DeepSAD', 'RePEN', 'Quartile'})
0.018	frozenset({'DeepSVDD', 'DeepSAD', 'Quartile'})
0.018	frozenset({'DeepSAD', 'Success', 'RePEN', 'Quartile'})
0.018	frozenset({'DeepSVDD', 'DeepSAD', 'Success', 'Quartile'})
0.018	frozenset({'DeepSVDD', 'DeepSAD', 'RePEN', 'Quartile'})
0.018	frozenset({'GOAD', 'DevNet', 'RePEN'})
0.018	frozenset({'DeepSVDD', 'Success', 'RePEN', 'Quartile', 'NeuTraL'})
0.018	frozenset({'DeepSVDD', 'DevNet', 'DeepSAD', 'ICL'})
0.018	frozenset({'DevNet', 'DeepSAD', 'RoSAS'})
0.018	frozenset({'DeepSVDD', 'Success', 'RePEN', 'PReNet'})
0.018	frozenset({'GOAD', 'DeepSVDD', 'Success', 'RePEN', 'RoSAS'})
0.018	frozenset({'DeepSVDD', 'RePEN', 'PReNet'})
0.018	frozenset({'DeepSVDD', 'DeepSAD', 'ICL'})
0.016	frozenset({'GOAD', 'NeuTraL', 'RePEN', 'SLAD'})
0.016	frozenset({'ICL', 'DeepSVDD', 'Success'})
0.016	frozenset({'GOAD', 'DevNet', 'DeepSAD', 'RePEN'})
0.016	frozenset({'GOAD', 'NeuTraL', 'SLAD'})
0.016	frozenset({'GOAD', 'RePEN', 'SLAD'})
0.016	frozenset({'GOAD', 'Success', 'SLAD'})
0.016	frozenset({'ICL', 'DevNet', 'DeepSVDD', 'DeepSAD', 'Success'})
0.016	frozenset({'ICL', 'DeepSVDD', 'Success', 'DevNet'})
0.016	frozenset({'GOAD', 'Success', 'RePEN', 'SLAD'})
0.016	frozenset({'SLAD', 'GOAD', 'Success', 'RePEN', 'NeuTraL'})
0.016	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'DeepSAD', 'RePEN', 'Success'})
0.016	frozenset({'NeuTraL', 'RePEN', 'RoSAS'})
0.016	frozenset({'GOAD', 'DevNet', 'ICL'})
0.016	frozenset({'GOAD', 'ICL'})
0.016	frozenset({'GOAD', 'DevNet', 'DeepSAD', 'ICL'})
0.016	frozenset({'NeuTraL', 'RoSAS'})
0.016	frozenset({'GOAD', 'Success', 'NeuTraL', 'SLAD'})
0.016	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'DeepSAD', 'RePEN'})
0.016	frozenset({'ICL', 'DeepSAD', 'Success', 'NeuTraL'})
0.016	frozenset({'GOAD', 'DevNet', 'DeepSAD', 'Success', 'RePEN'})
0.016	frozenset({'DeepSVDD', 'DevNet', 'DeepSAD', 'NeuTraL'})
0.016	frozenset({'DevNet', 'DeepSVDD', 'NeuTraL'})
0.016	frozenset({'DevNet', 'DeepSVDD', 'Success', 'RePEN', 'NeuTraL'})
0.016	frozenset({'DevNet', 'DeepSVDD', 'DeepSAD', 'RePEN', 'NeuTraL'})
0.016	frozenset({'DeepSVDD', 'DeepSAD', 'RePEN', 'Quartile', 'Success', 'NeuTraL'})
0.016	frozenset({'DeepSVDD', 'DeepSAD', 'RePEN', 'Quartile', 'NeuTraL'})
0.016	frozenset({'DeepSVDD', 'Success', 'DeepSAD', 'Quartile', 'NeuTraL'})
0.016	frozenset({'DevNet', 'DeepSVDD', 'Success', 'DeepSAD', 'NeuTraL'})
0.016	frozenset({'DevNet', 'DeepSVDD', 'DeepSAD', 'RePEN', 'Success', 'NeuTraL'})
0.016	frozenset({'DeepSAD', 'Success', 'RePEN', 'Quartile', 'NeuTraL'})
0.016	frozenset({'NeuTraL', 'DevNet', 'DeepSVDD', 'RePEN'})
0.016	frozenset({'DeepSVDD', 'DeepSAD', 'NeuTraL', 'Quartile'})
0.016	frozenset({'NeuTraL', 'DeepSAD', 'RePEN', 'Quartile'})
0.016	frozenset({'DevNet', 'DeepSVDD', 'Success', 'NeuTraL'})
0.016	frozenset({'DeepSAD', 'Success', 'NeuTraL', 'Quartile'})
0.016	frozenset({'DeepSVDD', 'DeepSAD', 'RePEN', 'RoSAS'})
0.016	frozenset({'GOAD', 'DeepSAD', 'ICL'})
0.016	frozenset({'DeepSAD', 'RePEN', 'RoSAS'})
0.016	frozenset({'DeepSAD', 'ICL', 'NeuTraL'})
0.016	frozenset({'DeepSVDD', 'ICL', 'DeepSAD', 'Success'})
0.016	frozenset({'GOAD', 'SLAD'})
0.016	frozenset({'DeepSAD', 'NeuTraL', 'Quartile'})
0.014	frozenset({'GOAD', 'ICL', 'DeepSAD', 'Success'})
0.014	frozenset({'GOAD', 'DeepSAD', 'ICL', 'DeepSVDD'})
0.014	frozenset({'RePEN', 'Quartile', 'RoSAS'})
0.014	frozenset({'DeepSVDD', 'Success', 'RePEN', 'Quartile', 'RoSAS'})
0.014	frozenset({'Success', 'NeuTraL', 'RoSAS'})
0.014	frozenset({'DeepSVDD', 'NeuTraL', 'RoSAS'})
0.014	frozenset({'GOAD', 'NeuTraL', 'RePEN', 'RoSAS'})
0.014	frozenset({'DeepSVDD', 'Quartile', 'RoSAS'})
0.014	frozenset({'NeuTraL', 'Success', 'RePEN', 'RoSAS'})
0.014	frozenset({'ICL', 'DevNet', 'DeepSAD', 'Success', 'NeuTraL'})
0.014	frozenset({'DevNet', 'DeepSAD', 'ICL', 'NeuTraL'})
0.014	frozenset({'ICL', 'DevNet', 'Success', 'NeuTraL'})
0.014	frozenset({'Success', 'RePEN', 'Quartile', 'RoSAS'})
0.014	frozenset({'ICL', 'GOAD', 'DevNet', 'DeepSAD', 'Success'})
0.014	frozenset({'GOAD', 'ICL', 'DevNet', 'Success'})
0.014	frozenset({'DeepSVDD', 'Success', 'Quartile', 'RoSAS'})
0.014	frozenset({'GOAD', 'ICL', 'Success'})
0.014	frozenset({'DeepSVDD', 'RePEN', 'Quartile', 'RoSAS'})
0.014	frozenset({'GOAD', 'DeepSVDD', 'ICL'})
0.014	frozenset({'GOAD', 'RePEN', 'Quartile'})
0.014	frozenset({'DevNet', 'ICL', 'NeuTraL'})
0.014	frozenset({'GOAD', 'DeepSVDD', 'Success', 'Quartile'})
0.014	frozenset({'DeepSAD', 'Success', 'RePEN', 'RoSAS'})
0.014	frozenset({'GOAD', 'DeepSAD', 'RePEN', 'RoSAS'})
0.014	frozenset({'DeepSVDD', 'Success', 'RePEN', 'DeepSAD', 'RoSAS'})
0.014	frozenset({'GOAD', 'DeepSVDD', 'DeepSAD', 'RePEN', 'RoSAS'})
0.014	frozenset({'Quartile', 'RoSAS'})
0.014	frozenset({'GOAD', 'Quartile'})
0.014	frozenset({'GOAD', 'DeepSVDD', 'SLAD'})
0.014	frozenset({'GOAD', 'DeepSVDD', 'NeuTraL', 'SLAD'})
0.014	frozenset({'GOAD', 'DeepSVDD', 'Success', 'RePEN', 'Quartile'})
0.014	frozenset({'Success', 'Quartile', 'RoSAS'})
0.014	frozenset({'GOAD', 'DeepSVDD', 'Success', 'SLAD'})
0.014	frozenset({'GOAD', 'DeepSVDD', 'RePEN', 'SLAD'})
0.014	frozenset({'SLAD', 'GOAD', 'DeepSVDD', 'RePEN', 'NeuTraL'})
0.014	frozenset({'ICL', 'GOAD', 'DevNet', 'DeepSVDD', 'DeepSAD'})
0.014	frozenset({'GOAD', 'Success', 'Quartile'})
0.014	frozenset({'GOAD', 'DeepSVDD', 'Quartile'})
0.014	frozenset({'NeuTraL', 'DeepSVDD', 'RePEN', 'RoSAS'})
